LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"Mahim , Mumbai","Goregaon, Mumbai",19.0351534,72.8404432,19.1551485,72.8678551
"Ghodbunder , Mumbai","Mira Road, Mumbai",19.2597254,72.9695364,19.2797513,72.8561635
"Andheri , Mumbai","Panvel, Mumbai",19.1171389,72.846563,18.9894007,73.1175162
"Bandra SV Road, Mumbai","sealink, Mumbai",19.0557714,72.83721150000001,19.0297096,72.81529119999999
"Andheri east, Mumbai","Bandra, Mumbai",19.1154908,72.8726952,19.0606917,72.8362497
"Belapur , Mumbai","Kurla Phoenix, Mumbai",19.0189704,73.0392364,18.995177,72.8261375
"Dahisar , Mumbai","Vile Parle, Mumbai",19.2499632,72.85939429999999,19.1030524,72.8466914
"Marine , Mumbai","Kandivli, Mumbai",18.9457243,72.82376049999999,19.2045159,72.8520095
"Kalyan , Mumbai","Vithalwadi, Mumbai",18.963397,72.82074899999999,18.9499215,72.8292074
"Andheri , Mumbai","Goregaon, Mumbai",19.1171389,72.846563,19.1551485,72.8678551
"Powai , Mumbai","Joheshwari, Mumbai",19.1196773,72.9050809,19.1405116,72.8421555
"Kandivali , Mumbai","Andheri, Mumbai",19.2045159,72.8520095,19.1171389,72.846563
"Mahavir Nagar , Mumbai","Kandivali, Mumbai",19.1939104,72.84563109999999,19.2045159,72.8520095
"Chembur , Mumbai","Kurla, Mumbai",19.0327996,72.89635679999999,19.0599836,72.889999
"Ghatkopar , Mumbai","Chembur, Mumbai",19.0856491,72.9082207,19.0327996,72.89635679999999
"Mumbai , Mumbai","Pune, Mumbai",19.0176169,72.8561288,18.9561458,72.8402491
"Sancheti flyover, Mumbai","Old Mumbai-Pune, Mumbai",18.5301806,73.85412219999999,18.542296,73.851636
"Worli , Mumbai","Andheri, Mumbai",18.9872015,72.8290456,19.1171389,72.846563
"Andheri east, Mumbai","Khar, Mumbai",19.1154908,72.8726952,19.0716903,72.8341267
"Mumbai , Mumbai","lonavala, Mumbai",19.0176169,72.8561288,18.7493892,73.4080759
"Bandra west, Mumbai","Lilawati, Mumbai",19.0606917,72.8362497,19.0434069,73.0113513
"Mumbai , Mumbai","Andheri, Mumbai",19.0176169,72.8561288,19.1171389,72.846563
"andheri , Mumbai","borivali, Mumbai",19.1171389,72.846563,19.2371877,72.8441358
"Shanmukhananda , Mumbai","Sion, Mumbai",19.0759837,72.8776559,19.0390214,72.86189519999999
"Malcolm Baug , Mumbai","Andheri, Mumbai",19.1331076,72.84637839999999,19.1171389,72.846563
