LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"Kalyan , Mumbai","Vithalwadi, Mumbai",18.963397,72.820749,18.9499215,72.8292074,18.964242,72.821074,18.948931,72.825366
"Andheri , Mumbai","Goregaon, Mumbai",19.1171389,72.846563,19.1551485,72.8678551,19.114485,72.84749,19.151824,72.871753
"Powai , Mumbai","Joheshwari, Mumbai",19.1196773,72.9050809,19.1405116,72.8421555,19.123749,72.909776,19.143995,72.841998
"Kandivali , Mumbai","Andheri, Mumbai",19.2045159,72.8520095,19.1171389,72.846563,19.20041,72.848866,19.114485,72.84749
"Mahavir Nagar , Mumbai","Kandivali, Mumbai",19.1939104,72.8456311,19.2045159,72.8520095,19.191412,72.842006,19.20041,72.848866
"Chembur , Mumbai","Kurla, Mumbai",19.0327996,72.8963568,19.0599836,72.889999,19.034365,72.895869,19.057373,72.887851
"Ghatkopar , Mumbai","Chembur, Mumbai",19.0856491,72.9082207,19.0327996,72.8963568,19.08884,72.907007,19.034365,72.895869
"Mumbai , Mumbai","Pune, Mumbai",19.0176169,72.8561288,18.9561458,72.8402491,19.014153,72.852038,18.9578,72.8427
"Sancheti flyover, Mumbai","Old Mumbai-Pune, Mumbai",18.5301806,73.8541222,18.542296,73.851636,18.531648,73.85025,18.544046,73.851601
"Worli , Mumbai","Andheri, Mumbai",18.9872015,72.8290456,19.1171389,72.846563,18.983369,72.824445,19.114485,72.84749
"Andheri east, Mumbai","Khar, Mumbai",19.1154908,72.8726952,19.0716903,72.8341267,19.111942,72.868469,19.0716,72.834166
"Mumbai , Mumbai","lonavala, Mumbai",19.0176169,72.8561288,18.7493892,73.4080759,19.014153,72.852038,18.753646,73.40576
"Bandra west, Mumbai","Lilawati, Mumbai",19.0606917,72.8362497,19.0434069,73.0113513,19.059348,72.833521,19.043885,73.013947
"Mumbai , Mumbai","Andheri, Mumbai",19.0176169,72.8561288,19.1171389,72.846563,19.014153,72.852038,19.114485,72.84749
"andheri , Mumbai","borivali, Mumbai",19.1171389,72.846563,19.2371877,72.8441358,19.114485,72.84749,19.241261,72.84643
"Shanmukhananda , Mumbai","Sion, Mumbai",19.0759837,72.8776559,19.0390214,72.8618952,19.075357,72.878716,19.038098,72.865697
"Malcolm Baug , Mumbai","Andheri, Mumbai",19.1331076,72.8463784,19.1171389,72.846563,19.137003,72.846792,19.114485,72.84749
"SEEPZ Road, Mumbai","JVLR, Mumbai",19.1260269,72.872871,19.1247111,72.8957516,19.125929,72.873115,19.123033,72.898429
"WEH , Mumbai","andheri, Mumbai",19.0759837,72.8776559,19.1171389,72.846563,19.075357,72.878716,19.114485,72.84749
"Juinagar , Mumbai","CST, Mumbai",19.051493,73.014991,18.9409708,72.8346536,19.052203,73.016821,18.939156,72.835428
"Bandra SV , Mumbai","Mahim, Mumbai",19.0547926,72.8406549,19.0351534,72.8404432,19.053839,72.839392,19.031667,72.842153
"Elphistone , Mumbai","Mumbai, Mumbai",19.0074271,72.8359006,19.0176169,72.8561288,19.00981,72.832162,19.014153,72.852038
"Goregaon west, Mumbai","Military, Mumbai",19.1629338,72.839241,19.2002946,72.8643734,19.163422,72.843959,19.201572,72.861793
"#Godbunderroad , Mumbai","borivali, Mumbai",19.3041368,72.862989,19.2371877,72.8441358,19.304132,72.862921,19.241261,72.84643
"Panbel , Mumbai","Panvel, Mumbai",18.9894007,73.1175162,18.9894007,73.1175162,18.988543,73.121323,18.988543,73.121323
"#HajiAli , Mumbai","#Worli Naka, Mumbai",18.979467,72.8124623,19.000633,72.8168121,18.978913,72.815678,18.998624,72.818104
"Malad , Mumbai","Chembur, Mumbai",19.1867884,72.8488709,19.0327996,72.8963568,19.188709,72.846419,19.034365,72.895869
"worli , Mumbai","Borivili, Mumbai",18.9872015,72.8290456,19.2371877,72.8441358,18.983369,72.824445,19.241261,72.84643
"hajiali , Mumbai","Tardeo, Mumbai",18.9778192,72.8104819,18.9649699,72.8091825,18.9735,72.809168,18.964068,72.808221
"Thane Belapur Road, Mumbai","Thane, Mumbai",19.1425582,73.0120312,19.0759837,72.8776559,19.145422,73.00997,19.075357,72.878716
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"Borivili , Mumbai","worli, Mumbai",19.2371877,72.8441358,18.9872015,72.8290456,19.241261,72.84643,18.983369,72.824445
"Thane , Mumbai","Kurla, Mumbai",19.0759837,72.8776559,19.0599836,72.889999,19.075357,72.878716,19.057373,72.887851
"Vakola , Mumbai","Santacruz, Mumbai",19.0788783,72.8500307,19.0825552,72.8417627,19.081211,72.854278,19.083041,72.840814
"LBS Road, Mumbai","Ghatkopar, Mumbai",19.0797781,72.886904,19.0856491,72.9082207,19.077082,72.88598,19.08884,72.907007
"milindnagar , Mumbai","jogeshwari, Mumbai",19.0956154,72.8940076,19.1405116,72.8421555,19.095328,72.897797,19.143995,72.841998
"Ghatkopar , Mumbai","mahalaxshami, Mumbai",19.0856491,72.9082207,18.983117,72.8168573,19.08884,72.907007,18.97968,72.820348
"Powai , Mumbai","Oberoi, Mumbai",19.1196773,72.9050809,19.1147912,72.8936779,19.123749,72.909776,19.113308,72.890552
"Dadar , Mumbai","Vikhroli, Mumbai",19.021324,72.8424178,19.091182,72.9208636,19.020988,72.843724,19.086808,72.919285
"Goregoan , Mumbai","VileParle, Mumbai",19.1551485,72.8678551,19.1030524,72.8466914,19.151824,72.871753,19.103449,72.85027
"Bhakti , Mumbai","Mazgaon, Mumbai",19.0725876,72.9080355,18.9718388,72.8436024,19.07616,72.908563,18.969289,72.840712
"Bangalore , Mumbai","Bangalore, Mumbai",13.0422952,77.5901551,13.0422952,77.5901551,13.0383,77.589075,13.0383,77.589075
"Nalasopara , Mumbai","Andheri, Mumbai",19.3131804,72.8522864,19.1171389,72.846563,19.310198,72.85319,19.114485,72.84749
"Thane , Mumbai","Powai, Mumbai",19.0759837,72.8776559,19.1196773,72.9050809,19.075357,72.878716,19.123749,72.909776
"Andheri , Mumbai","Vira, Mumbai",19.1171389,72.846563,19.008467,72.835011,19.114485,72.84749,19.008187,72.830834
"EEH , Mumbai","Kalina, Mumbai",19.0759837,72.8776559,19.076277,72.8653997,19.075357,72.878716,19.071737,72.861408
"Goregaon , Mumbai","Andheri Powai, Mumbai",19.1551485,72.8678551,19.1196773,72.9050809,19.151824,72.871753,19.123749,72.909776
