LAT1,LNG1,LAT2,LNG2
19.1350833,72.8489089,19.12929,72.847259
19.1350833,72.8489089,19.139578,72.843938
19.1350833,72.8489089,19.12929,72.847259
19.1350833,72.8489089,19.139578,72.843938
19.0091432,72.8157283,19.004547,72.813256
18.978032,72.811177,18.97501,72.806359
18.978032,72.811177,18.982046,72.814393
18.986815,72.813825,18.982046,72.814393
19.084052,72.837864,19.089633,72.838191
19.124334,72.846717,19.12929,72.847259
19.12929,72.847259,19.134592,72.847672
19.131774,72.847521,19.136842,72.846824
19.134592,72.847672,19.139578,72.843938
19.136842,72.846824,19.141894,72.843117
19.141894,72.843117,19.142862,72.836927
19.143911,72.842699,19.142862,72.836927
19.143911,72.842699,19.145705,72.836723
19.154295,72.845242,19.159722,72.845864
19.159722,72.845864,19.165772,72.845628
19.163512,72.8458,19.168377,72.845456
19.168377,72.845456,19.172952,72.845081
19.172952,72.845081,19.178211,72.846197
19.17658,72.845617,19.181433,72.846851
19.178211,72.846197,19.1842,72.846755
19.193005,72.846991,19.198183,72.847978
19.195325,72.847109,19.201678,72.848986
19.198183,72.847978,19.204039,72.849523
19.201678,72.848986,19.20794,72.850424
19.20794,72.850424,19.214414,72.850928
19.214414,72.850928,19.219915,72.852366
19.145705,72.836723,19.150296,72.835972
19.157477,72.835125,19.163578,72.834722
19.206306,72.83465,19.21165,72.835809
19.068483,72.9097,19.063476,72.913861
19.063476,72.913861,19.058789,72.913376
19.063476,72.913861,19.058789,72.913376
19.123226,72.898249,19.119658,72.902401
19.119658,72.902401,19.121462,72.907958
19.074101,72.849603,19.075257,72.854474
19.075257,72.854474,19.074273,72.860573
