SER,Distance,Speed,TIME
22,0.111,20.16490909090909,7
22,0.102,17.45819539646889,8
22,0.102,16.34210969556954,9
22,0.102,14.73553006320468,10
22,0.122,14.142776750898872,11
22,0.102,14.591199692780338,12
22,0.102,16.471296703296698,13
22,0.122,13.826211576441988,14
22,0.102,14.627192012288782,15
22,0.122,14.041464138012522,16
22,0.122,14.029672735099,17
22,0.102,14.674454126518643,18
22,0.102,14.926451612903225,19
22,0.102,13.465399319349542,20
22,0.102,15.28596803196803,21
22,0.102,16.200454697476435,22
22,0.111,17.682719236731376,23
23,0.071,26.14090909090909,0
23,0.071,25.509285714285713,1
23,0.071,26.05153846153846,2
23,0.071,25.986,3
23,0.071,25.56,4
23,0.071,26.597337662337658,5
23,0.071,25.805272727272726,6
23,0.071,25.155515151515154,7
23,0.071,17.006660356450272,8
23,0.071,16.046987736721483,9
23,0.071,14.957611293054772,10
23,0.071,11.645783359497647,11
23,0.071,14.424149707297534,12
23,0.071,14.035052286843591,13
23,0.071,13.54939640745002,14
23,0.071,17.71363003952569,15
23,0.071,14.463580088561322,16
23,0.071,15.601713075744131,17
23,0.071,14.43435211744777,18
23,0.071,15.786994507468817,19
23,0.071,15.425333554474419,20
23,0.071,20.497211879030065,21
23,0.071,20.686227106227108,22
23,0.071,24.107727272727274,23
24,0.094,13.806144448436935,0
24,0.094,13.885806324110668,1
24,0.094,13.555548799027058,2
24,0.094,14.065669565217387,3
24,0.094,13.70446753246753,4
24,0.094,13.75018988464951,5
24,0.094,13.705937366980844,6
24,0.094,13.628232478632478,7
24,0.094,11.760541691477654,8
24,0.094,11.242958979971805,9
24,0.094,10.58622728377527,10
24,0.094,10.491431448047988,11
24,0.094,10.8044348089475,12
24,0.094,10.322717596129362,13
24,0.094,10.202700807595765,14
24,0.094,10.870014715934222,15
24,0.094,10.956290043290043,16
24,0.094,10.976362214742355,17
24,0.094,10.646836998914399,18
24,0.094,10.745501076463642,19
24,0.094,11.066165039076608,20
24,0.094,12.48604567845947,21
24,0.094,12.45981007881008,22
24,0.094,13.037875124875123,23
25,0.497,16.145653089429917,0
25,0.497,14.886470266338895,1
25,0.497,16.20111369959716,2
25,0.497,15.47390115438321,3
25,0.497,14.871008780141702,4
25,0.497,14.872960138555475,5
25,0.497,13.990889571037927,6
25,0.497,14.661541856017951,7
25,0.497,13.101550812614247,8
25,0.497,13.00900280513206,9
25,0.497,12.29652403424603,10
25,0.497,11.201387476800798,11
25,0.497,10.768531020357424,12
25,0.497,11.131542218957874,13
25,0.497,12.023957069385943,14
25,0.497,12.130446074440774,15
25,0.497,11.383375338034927,16
25,0.152,10.53081356993052,17
25,0.152,10.35092576947909,18
25,0.152,9.952656482869056,19
25,0.497,12.950803872955339,20
25,0.497,13.507748916012964,21
25,0.497,14.1402051304571,22
25,0.497,14.950486271708508,23
26,0.13,29.25,0
26,0.13,28.15073529411765,1
26,0.13,29.11764705882353,2
26,0.13,29.135294117647057,3
26,0.13,27.857142857142858,4
26,0.13,25.745337608727702,5
26,0.13,27.789009287925698,6
26,0.13,28.485294117647058,7
26,0.13,25.569206103494032,8
26,0.13,23.055584415584413,9
26,0.13,22.533770750988143,10
26,0.13,19.45024577572965,11
26,0.13,19.44069980915143,12
26,0.13,20.525023041474658,13
26,0.13,18.71620583717358,14
26,0.13,19.065601638504866,15
26,0.13,19.223809523809525,16
26,0.13,20.193809523809527,17
26,0.13,21.551928853754944,18
26,0.13,22.54501957372771,19
26,0.13,24.066883116883115,20
26,0.13,24.376756975082333,21
26,0.13,24.832532978866606,22
26,0.13,27.879901960784313,23
27,0.143,45.434066985645934,0
27,0.143,47.97,1
27,0.143,44.12842105263158,2
27,0.143,47.11199999999999,3
27,0.143,45.726766917293226,4
27,0.143,45.657310924369746,5
27,0.143,45.53364705882352,6
27,0.143,46.279999999999994,7
27,0.143,39.7377873254565,8
27,0.143,35.62587769423559,9
27,0.143,30.376245090988338,10
27,0.143,28.36534467289638,11
27,0.143,25.0649498528931,12
27,0.143,23.919381889506372,13
27,0.143,26.682273852332692,14
27,0.143,27.254198975700124,15
27,0.143,24.76296340852131,16
27,0.143,20.684991842290458,17
27,0.143,21.992895884639136,18
27,0.143,23.204073365231263,19
27,0.143,29.841779569359506,20
27,0.143,35.22897812713602,21
27,0.143,38.548142857142864,22
27,0.143,41.13632518796992,23
28,0.135,60.13636363636365,0
28,0.135,56.25000000000001,1
28,0.135,58.673076923076934,2
28,0.135,60.75000000000001,3
28,0.135,58.33928571428572,4
28,0.135,59.08441558441559,5
28,0.135,58.95000000000001,6
28,0.135,59.49000000000001,7
28,0.135,56.41071428571429,8
28,0.135,54.63,9
28,0.135,52.20000000000001,10
28,0.135,48.8805194805195,11
28,0.135,50.048181818181845,12
28,0.135,49.300489510489534,13
28,0.135,49.353896103896126,14
28,0.135,48.248181818181834,15
28,0.135,46.51867132867134,16
28,0.135,46.619505494505496,17
28,0.135,41.03653846153846,18
28,0.135,45.50349650349651,19
28,0.135,50.52902097902099,20
28,0.135,52.79504132231405,21
28,0.135,51.412500000000016,22
28,0.135,55.68750000000001,23
29,0.099,43.32857142857143,0
29,0.099,43.878214285714286,1
29,0.099,43.89725274725275,2
29,0.099,43.98428571428571,3
29,0.099,43.48928571428571,4
29,0.099,42.719976452119305,5
29,0.099,42.42857142857142,6
29,0.099,43.955999999999996,7
29,0.099,40.095000000000006,8
29,0.099,35.916000000000004,9
29,0.099,28.560362637362633,10
29,0.099,28.685776995008524,11
29,0.099,27.00093277310924,12
29,0.099,29.17748222365869,13
29,0.099,31.198987441130292,14
29,0.099,30.048131868131865,15
29,0.099,28.192964447317383,16
